"Permit Number","Permit Name","DBA","Class","Class Issue Status","Date Of Action","Street1","Street2","City","State","Zip","City/Twp of Premises","County","Agency Number","Quota Exempt Class","Site Location Vote"
"0578964","BEITLER TRUCKING INC","DBA BEITLER TRUCKING","H","ISSUED","3/26/1999","3379 STAFFORD ST","","PITTSBURGH","PA","15204","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0127313","BELINDA ALLEN ESTATE ROBERT HOLLAND EXT","DBA SHAW BEVERAGE & DELI","C2","ISSUED","9/5/2002","12702 SHAW AVE","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0127313","BELINDA ALLEN ESTATE ROBERT HOLLAND EXT","DBA SHAW BEVERAGE & DELI","C2X","ISSUED","9/5/2002","12702 SHAW AVE","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597591","BELLAIRE GAS USA LLC","DBA GAS USA","C2","ISSUED","10/5/2010","3934 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597591","BELLAIRE GAS USA LLC","DBA GAS USA","C2X","ISSUED","10/5/2010","3934 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597591","BELLAIRE GAS USA LLC","DBA GAS USA","D6","ISSUED","10/5/2010","3934 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597266","BELLAIRE GAS WAY INC","DBA MARATHON","C1","ISSUED","4/5/2012","10606 BELLAIRE RD","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597266","BELLAIRE GAS WAY INC","DBA MARATHON","C2","ISSUED","4/5/2012","10606 BELLAIRE RD","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0597266","BELLAIRE GAS WAY INC","DBA MARATHON","D6","ISSUED","4/5/2012","10606 BELLAIRE RD","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0605530","BELLFLOWER INVESTMENTS LLC","DBA L ALBATROS","D5","ISSUED","3/1/2010","11401 BELLFLOWER RD & PATIO","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0605530","BELLFLOWER INVESTMENTS LLC","DBA L ALBATROS","D6","ISSUED","3/1/2010","11401 BELLFLOWER RD & PATIO","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0623379","BENNYS SPORTS BAR LLC","","D2","ISSUED","5/9/2016","3463 FULTON RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0623379","BENNYS SPORTS BAR LLC","","D2X","ISSUED","5/9/2016","3463 FULTON RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0623379","BENNYS SPORTS BAR LLC","","D3","ISSUED","5/9/2016","3463 FULTON RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0623379","BENNYS SPORTS BAR LLC","","D3A","ISSUED","5/9/2016","3463 FULTON RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0629572","BEREA MOVING & STORAGE CO","","H","ISSUED","3/27/2023","4755 W 150TH ST STE J","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0674119","BETTYS FOOD MARKET INC","","C1","ISSUED","12/15/1998","3347 MEYER AV 1ST FL FRONT & BSMT","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310005","BEVERAGE DISTRIBUTORS INC","","B1","ISSUED","3/26/2019","3600 KING AVE","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310005","BEVERAGE DISTRIBUTORS INC","","B2","ISSUED","3/26/2019","3600 KING AVE","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310005","BEVERAGE DISTRIBUTORS INC","","B4","ISSUED","3/26/2019","3600 KING AVE","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310005","BEVERAGE DISTRIBUTORS INC","","B5","ISSUED","3/26/2019","3600 KING AVE","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310011","BEVERAGE DISTRIBUTORS INC","","B1","ISSUED","12/1/2022","7300 BITTERN AVE STE 2501A","","CLEVELAND","OH","44103","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310011","BEVERAGE DISTRIBUTORS INC","","B2","ISSUED","12/1/2022","7300 BITTERN AVE STE 2501A","","CLEVELAND","OH","44103","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06782310011","BEVERAGE DISTRIBUTORS INC","","B4","ISSUED","12/1/2022","7300 BITTERN AVE STE 2501A","","CLEVELAND","OH","44103","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06785770001","BEVERAGE SOLUTIONS & LOGISTICS INC","","B5","ISSUED","4/22/2013","1633 E 40TH ST SUITE B","","CLEVELAND","OH","44103","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0348229","BHB ABEER INC","DBA PROFESSOR MARKET","C1","ISSUED","3/9/2004","2233 PROFESSOR AV 1ST FL & BSMT","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0348229","BHB ABEER INC","DBA PROFESSOR MARKET","C2","ISSUED","3/9/2004","2233 PROFESSOR AV 1ST FL & BSMT","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0348229","BHB ABEER INC","DBA PROFESSOR MARKET","D6","ISSUED","3/1/2010","2233 PROFESSOR AV 1ST FL & BSMT","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0688277","BIBIBOP LLC","DBA BIBIBOP ASIAN GRILL EXCLDS ADJACENT UNITS","D5J","ISSUED","8/3/2017","11431 EUCLID AVE 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0688277","BIBIBOP LLC","DBA BIBIBOP ASIAN GRILL EXCLDS ADJACENT UNITS","D6","ISSUED","8/3/2017","11431 EUCLID AVE 1ST FL ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0698464","BIG BANG BAR CLEVELAND LLC","DBA BIG BANG","D5J","ISSUED","7/31/2015","1163 FRONT AVE & PATIO","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0698464","BIG BANG BAR CLEVELAND LLC","DBA BIG BANG","D6","ISSUED","7/31/2015","1163 FRONT AVE & PATIO","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0717787","BIG G EXPRESS INC","","H","ISSUED","10/20/2000","190 HAWKINS DR","","SHELBYVILLE","TN","37160","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"06986700010","BIG GREEKS GYRO LLC","DBA BEST GYROS & PATIOS","D1","ISSUED","11/9/2016","2245 LEE RD","","CLEVELAND HEIGHTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"06986700010","BIG GREEKS GYRO LLC","DBA BEST GYROS & PATIOS","D2","ISSUED","11/9/2016","2245 LEE RD","","CLEVELAND HEIGHTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"06986700010","BIG GREEKS GYRO LLC","DBA BEST GYROS & PATIOS","D3","ISSUED","11/9/2016","2245 LEE RD","","CLEVELAND HEIGHTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0717853","BILLY KAY ENTERPRISES INC","DBA DAIRY MART","C1","ISSUED","7/17/2007","3387 W 117TH ST","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0717853","BILLY KAY ENTERPRISES INC","DBA DAIRY MART","C2","ISSUED","7/17/2007","3387 W 117TH ST","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0714254","BIMMCORP INC","DBA EDISONS PUB","D2","ISSUED","10/12/1989","2373 PROFESSOR AV 1ST FL BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0714254","BIMMCORP INC","DBA EDISONS PUB","D2X","ISSUED","10/12/1989","2373 PROFESSOR AV 1ST FL BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0714254","BIMMCORP INC","DBA EDISONS PUB","D3","ISSUED","10/12/1989","2373 PROFESSOR AV 1ST FL BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0714254","BIMMCORP INC","DBA EDISONS PUB","D3A","ISSUED","4/16/1993","2373 PROFESSOR AV 1ST FL BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0714254","BIMMCORP INC","DBA EDISONS PUB","D6","ISSUED","12/24/2009","2373 PROFESSOR AV 1ST FL BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0717908","BIN 216 LLC","DBA BIN 216","D5J","ISSUED","3/6/2023","1515 EUCLID AV 1ST FL & PATIO","","CLEVELAND","OH","44115","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0717908","BIN 216 LLC","DBA BIN 216","D6","ISSUED","3/6/2023","1515 EUCLID AV 1ST FL & PATIO","","CLEVELAND","OH","44115","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"0717856","BINKEYS DEN INC","DBA PEANUT BAR 1ST FL & BSMT & PATIO","D2","ISSUED","5/17/2002","8401 DENISON AV","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0717856","BINKEYS DEN INC","DBA PEANUT BAR 1ST FL & BSMT & PATIO","D2X","ISSUED","5/17/2002","8401 DENISON AV","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0717856","BINKEYS DEN INC","DBA PEANUT BAR 1ST FL & BSMT & PATIO","D3","ISSUED","5/17/2002","8401 DENISON AV","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"0727530","BKJJ LLC","DBA ALCOVE LOUNGE","D1","ISSUED","3/30/2007","4262 FULTON RD","","CLEVELAND","OHIO","44144","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0727530","BKJJ LLC","DBA ALCOVE LOUNGE","D2","ISSUED","3/30/2007","4262 FULTON RD","","CLEVELAND","OHIO","44144","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0727530","BKJJ LLC","DBA ALCOVE LOUNGE","D3","ISSUED","3/30/2007","4262 FULTON RD","","CLEVELAND","OHIO","44144","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0727530","BKJJ LLC","DBA ALCOVE LOUNGE","D3A","ISSUED","3/30/2007","4262 FULTON RD","","CLEVELAND","OHIO","44144","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0727530","BKJJ LLC","DBA ALCOVE LOUNGE","D6","ISSUED","3/30/2007","4262 FULTON RD","","CLEVELAND","OHIO","44144","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"07330240005","BLACK SHIELD POLICE ASSN","","D4","ISSUED","10/1/1983","4097 E 131ST ST","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"0757788","BLOCK SIXTY FOUR HOSPITALITY COMPANY INC","DBA LUXE & PATIO","D1","ISSUED","5/5/2008","6605 DETROIT AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","YES"
"0757788","BLOCK SIXTY FOUR HOSPITALITY COMPANY INC","DBA LUXE & PATIO","D2","ISSUED","5/5/2008","6605 DETROIT AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","YES"
"0757788","BLOCK SIXTY FOUR HOSPITALITY COMPANY INC","DBA LUXE & PATIO","D3","ISSUED","5/5/2008","6605 DETROIT AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","YES"
"0757788","BLOCK SIXTY FOUR HOSPITALITY COMPANY INC","DBA LUXE & PATIO","D3A","ISSUED","12/11/2008","6605 DETROIT AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"0757788","BLOCK SIXTY FOUR HOSPITALITY COMPANY INC","DBA LUXE & PATIO","D6","ISSUED","5/5/2008","6605 DETROIT AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","YES"
"0793315","BLUE CLOUD DISTRIBUTION OF OHIO INC","","B1","ISSUED","8/5/2022","4561 INDUSTRIAL PKWY SUITE A","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0765920","BLUE ERIE LLC","DBA CONVENIENCE STORE","C1","ISSUED","8/20/2021","3224 W 73RD ST 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"0766768","BLUES TO YOU INC","DBA WILBERTS SW REAR UNIT S STORE 1 & 1ST FL","D1","ISSUED","5/6/2003","812 HURON RD","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00985","NOT A QUOTA EXEMPT CLASS","NO"
"0766768","BLUES TO YOU INC","DBA WILBERTS SW REAR UNIT S STORE 1 & 1ST FL","D2","ISSUED","5/6/2003","812 HURON RD","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00985","NOT A QUOTA EXEMPT CLASS","NO"
"0766768","BLUES TO YOU INC","DBA WILBERTS SW REAR UNIT S STORE 1 & 1ST FL","D3","ISSUED","5/6/2003","812 HURON RD","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00985","NOT A QUOTA EXEMPT CLASS","NO"
"0766768","BLUES TO YOU INC","DBA WILBERTS SW REAR UNIT S STORE 1 & 1ST FL","D3A","ISSUED","5/6/2003","812 HURON RD","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00985","NOT A QUOTA EXEMPT CLASS","NO"
"0766768","BLUES TO YOU INC","DBA WILBERTS SW REAR UNIT S STORE 1 & 1ST FL","D6","ISSUED","5/6/2003","812 HURON RD","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00985","NOT A QUOTA EXEMPT CLASS","NO"
"0767071","BLUESKYBREWS LLC","","D1","ISSUED","12/2/2021","2187 MURRAY HILL RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","TRANSFER EXEMPT","NO"
"0767071","BLUESKYBREWS LLC","","D2","ISSUED","12/2/2021","2187 MURRAY HILL RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","TRANSFER EXEMPT","NO"
"0767071","BLUESKYBREWS LLC","","D3","ISSUED","12/2/2021","2187 MURRAY HILL RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0767071","BLUESKYBREWS LLC","","D6","ISSUED","12/2/2021","2187 MURRAY HILL RD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"07710350020","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA CLEVELAND METROPARKS GOLF COURSE & CLUBHOUSE & PATIO","D1","ISSUED","8/11/2011","18599 OLD LORAIN RD","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","MUNICIPAL GOLF COURSE OR STATE PARK","NO"
"07710350025","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA CLEVELAND METROPARKS GOLF COURSE & CLUBHOUSE & PATIO","D1","ISSUED","8/9/2011","19900 PURITAS RD","","CLEVELAND","OHIO","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"07710350065","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA E 55TH STREET MARINA","D1","ISSUED","5/22/2014","5555 N MARGINAL RD & PATIO","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350065","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA E 55TH STREET MARINA","D2","ISSUED","5/22/2014","5555 N MARGINAL RD & PATIO","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350065","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA E 55TH STREET MARINA","D3","ISSUED","5/22/2014","5555 N MARGINAL RD & PATIO","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350065","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA E 55TH STREET MARINA","D6","ISSUED","5/22/2014","5555 N MARGINAL RD & PATIO","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"07710350070","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA EDGEWATER BEACH HOUSE","D1","ISSUED","6/17/2014","7600 MEMORIAL SHOREWAY","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350070","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA EDGEWATER BEACH HOUSE","D2","ISSUED","6/17/2014","7600 MEMORIAL SHOREWAY","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350070","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA EDGEWATER BEACH HOUSE","D3","ISSUED","6/17/2014","7600 MEMORIAL SHOREWAY","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350070","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA EDGEWATER BEACH HOUSE","D6","ISSUED","6/17/2014","7600 MEMORIAL SHOREWAY","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"07710350030","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA MERWINS WHARF","D5","ISSUED","7/16/2014","1785 MERWIN ST & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","*** UNKNOWN ***","NO"
"07710350030","BOARD OF PARK COMMISSIONERS CLEVELAND METRO PARK DISTRICT","DBA MERWINS WHARF","D6","ISSUED","8/31/2012","1785 MERWIN ST & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"07710350090","BOARD OF PARK COMMISSIONERS CLEVELAND METROPOLITAN PARK DISTRICT","DBA WILDWOOD MARINA","D1","ISSUED","5/8/2019","16975 WILDWOOD DR & PATIO","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","00910","MUNICIPAL GOLF COURSE OR STATE PARK","NO"
"07710350090","BOARD OF PARK COMMISSIONERS CLEVELAND METROPOLITAN PARK DISTRICT","DBA WILDWOOD MARINA","D2","ISSUED","5/8/2019","16975 WILDWOOD DR & PATIO","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","00910","MUNICIPAL GOLF COURSE OR STATE PARK","NO"
"07710350090","BOARD OF PARK COMMISSIONERS CLEVELAND METROPOLITAN PARK DISTRICT","DBA WILDWOOD MARINA","D3","ISSUED","5/8/2019","16975 WILDWOOD DR & PATIO","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","00910","NOT A QUOTA EXEMPT CLASS","NO"
"07710350090","BOARD OF PARK COMMISSIONERS CLEVELAND METROPOLITAN PARK DISTRICT","DBA WILDWOOD MARINA","D6","ISSUED","5/8/2019","16975 WILDWOOD DR & PATIO","","CLEVELAND","OH","44119","CLEVELAND","CUYAHOGA","00910","NOT A QUOTA EXEMPT CLASS","NO"
"4316046","BOBBIE JOHNSON","DBA FRECKS","D5","ISSUED","1/23/2007","11139-43 SUPERIOR AV","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00945","NOT A QUOTA EXEMPT CLASS","NO"
"0788382","BOILER SEAFOOD LLC","DBA THE BOILER 65","D5J","ISSUED","6/7/2017","6410 DETROIT AVE & PAITO","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"0788382","BOILER SEAFOOD LLC","DBA THE BOILER 65","D6","ISSUED","6/7/2017","6410 DETROIT AVE & PAITO","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"07905640005","BOILING SEAFOOD LLC","","D1","ISSUED","12/31/2015","2201 LEE RD","","CLEVELAND HGTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"07905640005","BOILING SEAFOOD LLC","","D2","ISSUED","4/26/2018","2201 LEE RD","","CLEVELAND HGTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"07905640005","BOILING SEAFOOD LLC","","D3","ISSUED","12/31/2015","2201 LEE RD","","CLEVELAND HGTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350035","BON APPETIT MANAGEMENT CO","","D2","ISSUED","11/23/2007","1801 E NINTH ST 1ST FL SUITE 8","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"08142350035","BON APPETIT MANAGEMENT CO","","D2X","ISSUED","11/23/2007","1801 E NINTH ST 1ST FL SUITE 8","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"08142350035","BON APPETIT MANAGEMENT CO","","D3","ISSUED","4/26/2018","1801 E NINTH ST 1ST FL SUITE 8","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"08142350005","BON APPETIT MANAGEMENT CO","","D5","ISSUED","10/1/2012","11150 EAST BLVD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350005","BON APPETIT MANAGEMENT CO","","D6","ISSUED","10/1/2012","11150 EAST BLVD","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350015","BON APPETIT MANAGEMENT CO","DBA MICHELSON AND MORLEY 1ST & 2ND FLRS & PATIO","D5J","ISSUED","8/26/2014","11038 BELLFLOWER RD SOUTH WING","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350015","BON APPETIT MANAGEMENT CO","DBA MICHELSON AND MORLEY 1ST & 2ND FLRS & PATIO","D6","ISSUED","8/26/2014","11038 BELLFLOWER RD SOUTH WING","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350025","BON APPETIT MANAGEMENT CO","DBA THE SPOT","D5","ISSUED","4/3/2015","1619 MISTLETOE DR LOWER LEVEL","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350031","BON APPETIT MANAGEMENT CO","","D1","ISSUED","9/24/2015","10900 EUCLID AV","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"08142350040","BON APPETIT MANAGEMENT CO","","D5J","ISSUED","12/23/2016","11310 JUNIPER RD 1ST FLR ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350040","BON APPETIT MANAGEMENT CO","","D6","ISSUED","12/23/2016","11310 JUNIPER RD 1ST FLR ONLY","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350045","BON APPETIT MANAGEMENT CO","DBA PLUM MARKET","D5J","ISSUED","3/9/2021","11473 EUCLID AV 1ST FL & MEZZANINE","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"08142350045","BON APPETIT MANAGEMENT CO","DBA PLUM MARKET","D6","ISSUED","3/9/2021","11473 EUCLID AV 1ST FL & MEZZANINE","","CLEVELAND","OH","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0828730","BOOKERS ENTERPRISE II LLC","DBA BOOKERS LOUNGE","D1","ISSUED","3/8/2019","13179 CEDAR RD","","CLEVELAND HGHTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"0828730","BOOKERS ENTERPRISE II LLC","DBA BOOKERS LOUNGE","D2","ISSUED","3/8/2019","13179 CEDAR RD","","CLEVELAND HGHTS","OH","44118","CLEVELAND HGTS","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
